id,category,question,opt1,opt2,opt3,opt4,opt5,opt6,trait_axis
18,Best Friends & Quirks,What inside joke topic comes up the most (In High-Stress)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
19,Best Friends & Quirks,What inside joke topic comes up the most (On Weekends)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
20,Best Friends & Quirks,What inside joke topic comes up the most (With Strangers)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
21,Best Friends & Quirks,What inside joke topic comes up the most (With Inner Circle)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
22,Best Friends & Quirks,What inside joke topic comes up the most (Looking Back)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
23,Best Friends & Quirks,What inside joke topic comes up the most (Looking Ahead)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
24,Best Friends & Quirks,What inside joke topic comes up the most (Raw Instinct)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
25,Best Friends & Quirks,What inside joke topic comes up the most (Calculated)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
26,Best Friends & Quirks,What inside joke topic comes up the most (Deep Focus)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
27,Best Friends & Quirks,What inside joke topic comes up the most (Late Night)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
28,Best Friends & Quirks,What inside joke topic comes up the most (Social Vibe)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
29,Best Friends & Quirks,What inside joke topic comes up the most (Solo Mode)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
30,Best Friends & Quirks,What inside joke topic comes up the most (Real Talk)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
31,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Perspective A)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
32,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Perspective B)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
33,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (In High-Stress)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
34,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (On Weekends)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
35,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (With Strangers)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
36,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (With Inner Circle)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
37,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Looking Back)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
38,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Looking Ahead)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
39,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Raw Instinct)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
40,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Calculated)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
41,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Deep Focus)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
42,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Late Night)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
43,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Social Vibe)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
44,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Solo Mode)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
45,Best Friends & Quirks,How do you respond when your friend calls at 3:00 AM (Real Talk)?,Pick up instantly fearing an emergency,Decline and text 'You alive?',Sleep right through it on Do Not Disturb,Pick up half-asleep and mutter nonsense,Call back ten minutes later in a panic,Assume they butt-dialed and ignore it,Social
46,Best Friends & Quirks,"If you get into a silly argument, how does it end (Perspective A)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
47,Best Friends & Quirks,"If you get into a silly argument, how does it end (Perspective B)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
48,Best Friends & Quirks,"If you get into a silly argument, how does it end (In High-Stress)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
49,Best Friends & Quirks,"If you get into a silly argument, how does it end (On Weekends)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
50,Best Friends & Quirks,"If you get into a silly argument, how does it end (With Strangers)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
51,Best Friends & Quirks,"If you get into a silly argument, how does it end (With Inner Circle)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
52,Best Friends & Quirks,"If you get into a silly argument, how does it end (Looking Back)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
53,Best Friends & Quirks,"If you get into a silly argument, how does it end (Looking Ahead)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
54,Best Friends & Quirks,"If you get into a silly argument, how does it end (Raw Instinct)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
55,Best Friends & Quirks,"If you get into a silly argument, how does it end (Calculated)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
56,Best Friends & Quirks,"If you get into a silly argument, how does it end (Deep Focus)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
57,Best Friends & Quirks,"If you get into a silly argument, how does it end (Late Night)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
58,Best Friends & Quirks,"If you get into a silly argument, how does it end (Social Vibe)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
59,Best Friends & Quirks,"If you get into a silly argument, how does it end (Solo Mode)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
60,Best Friends & Quirks,"If you get into a silly argument, how does it end (Real Talk)?",One person makes a joke and both break character,We agree to disagree after ten minutes,We don't talk for two days then act like nothing happened,Send a meme completely unrelated to reset the vibe,Someone Googles the proof to win aggressively,Order food together and instantly forget about it,Social
61,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Perspective A)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
62,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Perspective B)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
63,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (In High-Stress)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
64,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (On Weekends)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
65,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (With Strangers)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
66,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (With Inner Circle)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
67,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Looking Back)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
68,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Looking Ahead)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
69,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Raw Instinct)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
70,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Calculated)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
71,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Deep Focus)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
72,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Late Night)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
73,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Social Vibe)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
74,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Solo Mode)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
75,Best Friends & Quirks,What makes someone immediately feel like a close friend to you (Real Talk)?,Being able to sit in complete silence without awkwardness,Sharing brutally honest hot takes without being judged,Having matching obscure humor and timing,Always having each other's backs in groups,Spontaneous late-night plans without needing notice,Remembering tiny details mentioned weeks ago,Social
76,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Perspective A)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
77,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Perspective B)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
78,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (In High-Stress)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
79,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (On Weekends)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
80,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (With Strangers)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
81,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (With Inner Circle)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
82,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Looking Back)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
83,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Looking Ahead)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
84,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Raw Instinct)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
85,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Calculated)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
86,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Deep Focus)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
87,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Late Night)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
88,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Social Vibe)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
89,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Solo Mode)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
90,Best Friends & Quirks,What is the most chaotic thing you would do on a dare (Real Talk)?,Eat a bizarre food combination in public,Text your contact #12 something nonsensical,Sing horribly loud in a supermarket aisle,Walk into a place and ask for an imaginary item,Wear your clothes inside-out for an entire afternoon,Flat out refuse because dignity comes first,Social
91,Best Friends & Quirks,How do you handle your best friend having annoying habits (Perspective A)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
92,Best Friends & Quirks,How do you handle your best friend having annoying habits (Perspective B)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
93,Best Friends & Quirks,How do you handle your best friend having annoying habits (In High-Stress)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
94,Best Friends & Quirks,How do you handle your best friend having annoying habits (On Weekends)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
95,Best Friends & Quirks,How do you handle your best friend having annoying habits (With Strangers)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
96,Best Friends & Quirks,How do you handle your best friend having annoying habits (With Inner Circle)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
97,Best Friends & Quirks,How do you handle your best friend having annoying habits (Looking Back)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
98,Best Friends & Quirks,How do you handle your best friend having annoying habits (Looking Ahead)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
99,Best Friends & Quirks,How do you handle your best friend having annoying habits (Raw Instinct)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
100,Best Friends & Quirks,How do you handle your best friend having annoying habits (Calculated)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
101,Best Friends & Quirks,How do you handle your best friend having annoying habits (Deep Focus)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
102,Best Friends & Quirks,How do you handle your best friend having annoying habits (Late Night)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
103,Best Friends & Quirks,How do you handle your best friend having annoying habits (Social Vibe)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
104,Best Friends & Quirks,How do you handle your best friend having annoying habits (Solo Mode)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
105,Best Friends & Quirks,How do you handle your best friend having annoying habits (Real Talk)?,Call them out bluntly right on the spot,Laugh at it and turn it into a running gag,Privately ignore it because nobody is perfect,Subtly mimic them until they notice,Have an honest one-on-one talk if it gets bad,Vent about it once then completely drop it,Social
106,Dating & Romance,What is your definition of an ideal first date (Perspective A)?,Casual coffee and a walk through town,A low-key late-night dinner,An activity like go-karting or bowling,Exploring a scenic overlook with music,Staying in to cook and watch a movie,An upscale restaurant date,Romance
