code,mode,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,archetype_title
1120,similarity,0,5,4,2,1,4,0,2,5,2,The Spontaneous Socialite
1121,similarity,4,5,5,1,5,0,5,1,1,4,The Quiet Observer
1122,similarity,2,4,3,0,3,1,0,0,5,0,The Aesthetic Rover
1123,similarity,4,4,4,4,0,2,1,5,0,3,The Grounded Loyalist
1124,similarity,2,3,4,3,0,2,0,4,4,5,The Midnight Coder
1125,similarity,0,3,2,2,3,3,1,4,1,1,The Quiet Observer
1126,similarity,4,2,3,0,1,4,2,3,3,3,The Focused Builder
1127,similarity,0,2,1,5,4,0,4,0,0,0,The Grounded Loyalist
1128,similarity,4,1,2,5,4,1,3,5,2,2,The Spontaneous Socialite
1129,similarity,2,1,2,4,2,0,4,4,0,2,The Calm Strategist
1130,similarity,4,0,0,3,5,1,5,3,1,5,The Digital Nomad
1131,similarity,2,0,1,1,3,3,4,3,5,1,The Free Spirit
1132,similarity,0,4,1,0,2,4,5,2,2,3,The Spontaneous Socialite
1133,similarity,4,3,5,5,0,3,0,1,4,0,The Quiet Observer
1134,similarity,0,3,0,3,4,5,5,0,2,2,The Digital Nomad
1135,similarity,4,2,4,2,1,0,0,3,3,4,The Grounded Loyalist
1136,similarity,2,2,5,0,1,1,1,3,1,1,The Midnight Coder
1137,similarity,4,1,5,5,4,3,3,2,2,3,The Direct Idealist
1138,similarity,2,1,3,4,2,2,2,1,0,3,The Minimalist Architect
1139,similarity,0,0,4,2,0,3,3,0,1,0,The Grounded Loyalist
1140,similarity,4,0,2,1,3,5,4,5,5,2,The Spontaneous Socialite
1141,similarity,0,5,3,0,3,0,3,4,3,4,The Direct Idealist
1142,similarity,4,5,3,4,0,5,4,4,4,0,The Digital Nomad
1143,similarity,2,4,1,3,4,1,5,1,2,3,The Free Spirit
1144,similarity,4,4,2,1,1,2,4,0,3,5,The Aesthetic Rover
1145,similarity,2,2,2,0,1,3,5,5,1,1,The Pure Creator
1146,similarity,0,3,0,5,5,2,0,4,2,4,The Digital Nomad
1147,similarity,2,1,1,3,2,4,1,3,0,4,The Quiet Observer
1148,similarity,0,2,5,2,0,5,1,3,2,0,The Aesthetic Rover
1149,similarity,4,0,0,0,5,0,2,2,5,3,The Direct Idealist
1150,similarity,2,5,0,5,3,2,3,1,3,5,The Minimalist Architect
1151,similarity,4,5,4,4,1,1,2,4,4,1,The Calm Strategist
1152,similarity,2,4,5,2,4,2,3,3,2,4,The Focused Builder
1153,similarity,0,4,3,3,2,4,4,3,3,0,The Direct Idealist
1154,similarity,2,3,4,2,1,5,3,2,1,2,The Spontaneous Socialite
1155,similarity,0,3,4,0,5,4,4,1,3,3,The Calm Strategist
1156,similarity,4,2,2,5,3,0,5,0,0,5,The Aesthetic Rover
1157,similarity,2,2,3,3,0,1,0,5,4,1,The Pure Creator
1158,similarity,4,0,1,2,0,2,5,2,5,3,The Midnight Coder
1159,similarity,2,1,1,1,3,3,1,2,3,0,The Quiet Observer
1160,similarity,0,5,2,5,1,3,2,1,4,2,The Aesthetic Rover
1161,similarity,2,0,0,4,5,4,1,0,2,4,The Grounded Loyalist
1162,similarity,0,4,1,3,4,5,2,5,4,1,The Midnight Coder
1163,similarity,4,5,1,1,2,1,3,4,1,3,The Calm Strategist
1164,similarity,2,3,5,0,5,0,2,4,3,3,The Focused Builder
1165,similarity,4,2,0,4,3,1,3,3,0,0,The Free Spirit
1166,similarity,2,2,4,3,2,3,4,0,4,2,The Spontaneous Socialite
1167,similarity,0,1,5,2,0,4,5,5,5,4,The Calm Strategist
1168,similarity,2,1,5,0,4,3,4,4,3,1,The Digital Nomad
1169,similarity,0,0,3,5,1,5,5,3,5,3,The Free Spirit
1170,similarity,4,0,4,4,5,0,1,3,2,5,The Midnight Coder
1171,similarity,0,4,2,2,4,1,0,2,4,2,The Pure Creator
1172,similarity,4,5,3,1,2,3,1,1,1,4,The Minimalist Architect
1173,similarity,2,3,3,5,0,2,2,0,5,4,The Grounded Loyalist
1174,similarity,0,4,1,4,3,3,1,3,0,0,The Midnight Coder
1175,similarity,2,2,2,3,3,4,2,2,4,3,The Direct Idealist
1176,similarity,0,3,2,1,0,0,3,2,0,5,The Minimalist Architect
1177,similarity,4,1,0,0,4,5,4,1,3,1,The Free Spirit
1178,similarity,0,2,1,0,2,0,3,0,5,4,The Focused Builder
1179,similarity,4,0,5,5,1,2,4,5,2,0,The Pure Creator
1180,similarity,2,1,0,4,5,3,5,4,4,2,The Digital Nomad
1181,similarity,0,5,0,2,2,4,5,4,2,5,The Free Spirit
1182,similarity,2,4,4,1,0,4,0,1,5,5,The Aesthetic Rover
1183,similarity,0,4,5,0,5,5,1,0,1,1,The Pure Creator
1184,similarity,4,2,3,4,3,0,0,5,4,4,The Minimalist Architect
1185,similarity,0,3,4,3,1,2,1,4,0,0,The Quiet Observer
1186,similarity,4,1,4,1,4,1,2,3,3,2,The Focused Builder
1187,similarity,2,2,2,0,2,2,3,3,5,5,The Direct Idealist
1188,similarity,0,0,3,5,1,3,2,2,3,1,The Minimalist Architect
1189,similarity,2,1,1,3,5,5,3,1,4,3,The Calm Strategist
1190,similarity,0,5,1,2,3,0,4,4,2,5,The Focused Builder
1191,similarity,4,0,2,1,0,5,4,3,5,0,The Pure Creator
1192,similarity,0,4,0,5,0,1,5,3,1,2,The Spontaneous Socialite
1193,similarity,4,5,1,4,3,2,0,2,4,4,The Quiet Observer
1194,similarity,2,3,1,2,1,3,5,1,0,1,The Aesthetic Rover
1195,similarity,4,4,5,1,5,3,0,0,4,3,The Grounded Loyalist
1196,similarity,2,2,0,0,4,4,1,5,5,5,The Midnight Coder
1197,similarity,0,2,4,4,2,5,2,4,3,2,The Quiet Observer
1198,similarity,4,1,5,3,5,1,1,2,0,4,The Focused Builder
1199,similarity,0,5,5,2,3,0,2,1,2,4,The Grounded Loyalist
1200,similarity,4,0,3,0,3,1,3,0,5,1,The Spontaneous Socialite
1201,similarity,2,4,4,5,0,3,2,5,1,3,The Calm Strategist
1202,similarity,4,5,2,3,4,4,4,4,5,5,The Digital Nomad
1203,similarity,2,3,3,2,1,5,5,4,0,2,The Free Spirit
1204,similarity,5,4,3,3,5,4,4,3,4,4,The Quiet Observer
1205,similarity,3,2,1,1,4,0,5,2,5,0,The Aesthetic Rover
1206,similarity,5,3,2,0,2,1,0,5,3,2,The Grounded Loyalist
1207,similarity,3,1,2,4,0,2,1,4,0,5,The Midnight Coder
1208,similarity,1,2,0,3,3,2,0,3,2,5,The Quiet Observer
1209,similarity,3,0,1,2,3,3,1,3,0,1,The Minimalist Architect
1210,similarity,1,0,5,0,0,4,2,2,1,4,The Grounded Loyalist
1211,similarity,5,5,0,5,4,0,1,1,5,0,The Spontaneous Socialite
1212,similarity,3,5,0,4,2,1,2,0,0,2,The Calm Strategist
1213,similarity,5,4,4,2,1,0,4,3,4,5,The Digital Nomad
1214,similarity,3,2,5,1,5,2,3,2,1,1,The Free Spirit
1215,similarity,1,3,3,5,2,3,4,2,3,3,The Spontaneous Socialite
1216,similarity,3,1,4,4,0,4,5,1,1,0,The Pure Creator
1217,similarity,1,2,4,3,4,3,0,0,2,0,The Digital Nomad
1218,similarity,5,0,2,1,3,5,5,5,0,2,The Grounded Loyalist
1219,similarity,1,1,3,0,1,0,0,4,1,5,The Aesthetic Rover
1220,similarity,5,5,1,5,4,1,1,4,5,1,The Direct Idealist
1221,similarity,3,0,1,3,2,1,0,1,1,3,The Minimalist Architect
1222,similarity,1,4,2,2,1,2,1,0,4,5,The Grounded Loyalist
1223,similarity,3,4,0,0,5,3,2,5,2,2,The Focused Builder
1224,similarity,1,3,1,5,3,5,2,4,3,4,The Direct Idealist
1225,similarity,5,3,1,4,0,0,3,3,1,0,The Digital Nomad
1226,similarity,1,2,5,2,0,5,4,3,2,1,The Calm Strategist
1227,similarity,5,2,0,1,3,1,5,2,0,3,The Aesthetic Rover
1228,similarity,3,1,4,0,1,2,4,1,2,5,The Pure Creator
1229,similarity,1,1,5,0,5,3,5,4,5,2,The Digital Nomad
1230,similarity,3,0,5,5,4,3,0,3,1,4,The Quiet Observer
1231,similarity,1,4,3,3,2,4,5,3,4,0,The Aesthetic Rover
1232,similarity,5,5,4,2,5,5,0,2,2,3,The Direct Idealist
1233,similarity,1,3,2,1,3,0,1,1,3,5,The Midnight Coder
1234,similarity,5,4,2,5,1,2,0,0,1,1,The Calm Strategist
1235,similarity,3,2,3,4,0,1,2,5,3,2,The Focused Builder
1236,similarity,1,2,1,2,4,2,3,4,0,4,The Direct Idealist
1237,similarity,3,1,2,1,1,4,2,2,2,0,The Spontaneous Socialite
1238,similarity,1,1,2,0,5,5,3,1,5,2,The Calm Strategist
1239,similarity,5,0,0,4,5,4,4,0,3,5,The Aesthetic Rover
1240,similarity,1,0,1,3,2,0,5,5,4,1,The Free Spirit
1241,similarity,5,5,5,2,0,1,4,4,2,3,The Midnight Coder
1242,similarity,3,5,0,0,3,2,5,3,4,0,The Quiet Observer
1243,similarity,5,4,0,5,3,2,0,3,1,0,The Minimalist Architect
1244,similarity,3,4,4,3,0,3,5,2,3,2,The Grounded Loyalist
1245,similarity,1,3,5,2,4,4,1,5,0,5,The Midnight Coder
1246,similarity,5,3,3,1,2,5,2,4,2,1,The Calm Strategist
1247,similarity,1,2,4,5,1,1,1,3,5,3,The Minimalist Architect
1248,similarity,5,0,4,4,5,0,2,3,3,0,The Free Spirit
1249,similarity,3,0,2,3,2,1,3,2,5,2,The Spontaneous Socialite
1250,similarity,5,5,3,1,0,3,4,1,2,4,The Pure Creator
1251,similarity,3,5,3,0,4,4,3,0,4,1,The Digital Nomad
1252,similarity,1,4,1,4,3,3,4,5,1,1,The Free Spirit
1253,similarity,5,4,2,3,1,5,5,2,3,3,The Midnight Coder
1254,similarity,1,3,0,2,4,0,4,2,0,5,The Pure Creator
1255,similarity,5,3,1,2,2,1,5,1,2,2,The Minimalist Architect
1256,similarity,3,2,1,1,2,3,1,0,0,4,The Grounded Loyalist
1257,similarity,5,2,5,5,5,2,0,5,3,0,The Focused Builder
1258,similarity,3,1,0,4,3,3,1,4,5,3,The Direct Idealist
1259,similarity,1,1,4,3,0,5,2,4,2,5,The Minimalist Architect
1260,similarity,5,0,5,1,0,0,3,3,4,1,The Free Spirit
1261,similarity,1,0,5,0,3,5,2,0,1,2,The Focused Builder
1262,similarity,5,4,3,5,1,0,3,5,3,4,The Pure Creator
1263,similarity,3,5,4,3,5,2,4,4,1,0,The Digital Nomad
1264,similarity,5,3,2,2,2,3,3,3,4,3,The Quiet Observer
1265,similarity,3,2,2,0,2,2,4,3,0,5,The Aesthetic Rover
1266,similarity,1,2,3,5,5,4,5,2,3,1,The Pure Creator
1267,similarity,3,1,1,4,3,5,5,1,5,3,The Midnight Coder
1268,similarity,1,1,2,2,1,0,0,4,3,0,The Quiet Observer
1269,similarity,5,0,2,1,0,2,1,3,4,2,The Focused Builder
1270,similarity,3,0,0,0,4,1,2,2,2,2,The Direct Idealist
1271,similarity,5,5,1,4,1,2,1,2,3,5,The Spontaneous Socialite
1272,similarity,3,5,5,3,5,4,2,1,1,1,The Calm Strategist
1273,similarity,1,4,0,1,5,5,3,0,4,3,The Focused Builder
1274,similarity,3,4,0,0,2,4,2,5,0,0,The Free Spirit
1275,similarity,1,2,4,5,0,5,3,4,4,2,The Spontaneous Socialite
1276,similarity,5,3,5,3,3,1,4,2,5,4,The Quiet Observer
1277,similarity,3,1,3,2,3,2,3,1,3,1,The Aesthetic Rover
1278,similarity,5,2,4,1,1,3,5,0,4,1,The Grounded Loyalist
1279,similarity,3,0,4,5,4,3,0,5,2,3,The Midnight Coder
1280,similarity,1,5,2,0,2,4,1,4,5,0,The Quiet Observer
1281,similarity,3,5,3,4,5,5,0,3,1,2,The Minimalist Architect
1282,similarity,1,4,3,3,5,1,1,3,5,4,The Grounded Loyalist
1283,similarity,5,4,1,2,2,0,2,2,0,0,The Spontaneous Socialite
1284,similarity,3,3,2,0,0,1,1,5,4,3,The Calm Strategist
1285,similarity,5,3,0,5,4,3,2,4,5,5,The Digital Nomad
1286,similarity,3,1,1,3,3,4,3,3,3,1,The Free Spirit
1287,similarity,1,2,1,2,1,5,2,3,4,2,The Spontaneous Socialite
1288,similarity,3,0,5,1,4,5,3,2,2,4,The Pure Creator
1289,similarity,1,1,0,5,2,0,5,1,0,0,The Digital Nomad
1290,similarity,5,5,4,4,2,1,0,0,1,3,The Grounded Loyalist
1291,similarity,1,0,5,3,5,2,5,5,5,5,The Aesthetic Rover
1292,similarity,5,4,5,1,3,2,0,2,0,1,The Direct Idealist
1293,similarity,3,5,3,0,0,3,1,2,4,4,The Minimalist Architect
1294,similarity,1,3,4,4,0,4,0,1,5,0,The Grounded Loyalist
1295,similarity,3,4,2,3,4,0,1,0,3,2,The Focused Builder
1296,similarity,1,2,2,2,1,5,2,5,5,3,The Direct Idealist
1297,similarity,5,1,3,0,5,0,1,4,2,5,The Digital Nomad
1298,similarity,1,1,1,5,2,2,2,4,0,1,The Calm Strategist
1299,similarity,5,5,2,4,2,3,3,3,1,3,The Aesthetic Rover
1300,similarity,3,0,2,2,5,4,5,0,5,0,The Pure Creator
1301,similarity,1,4,0,1,3,4,4,5,0,2,The Digital Nomad
1302,similarity,3,5,1,5,1,5,5,4,4,4,The Quiet Observer
1303,similarity,1,3,5,4,0,0,0,3,0,1,The Aesthetic Rover
1304,similarity,5,4,0,3,4,1,5,3,3,3,The Direct Idealist
1305,similarity,1,2,0,3,1,1,0,2,1,3,The Midnight Coder
1306,similarity,5,3,4,2,5,2,1,1,2,0,The Calm Strategist
1307,similarity,3,1,5,1,5,3,0,0,0,2,The Focused Builder
1308,similarity,1,2,3,5,2,5,1,3,2,4,The Direct Idealist
1309,similarity,3,0,3,4,0,0,2,2,5,1,The Spontaneous Socialite
1310,similarity,1,1,4,2,3,5,4,2,1,3,The Calm Strategist
1311,similarity,5,5,2,1,1,1,3,1,4,5,The Aesthetic Rover
1312,similarity,1,5,3,0,1,2,4,0,0,2,The Free Spirit
1313,similarity,5,4,3,4,4,3,5,5,3,4,The Midnight Coder
1314,similarity,3,2,1,3,2,3,4,4,1,4,The Quiet Observer
1315,similarity,5,3,2,1,5,4,5,4,3,0,The Minimalist Architect
1316,similarity,3,1,0,0,5,5,0,1,0,3,The Grounded Loyalist
1317,similarity,1,2,1,5,3,1,5,0,2,5,The Midnight Coder
1318,similarity,4,0,1,3,0,0,0,5,5,1,The Focused Builder
1319,similarity,0,1,5,2,4,1,1,4,1,4,The Grounded Loyalist
1320,similarity,4,5,0,1,3,2,2,3,4,0,The Spontaneous Socialite
1321,similarity,2,0,4,5,1,4,2,3,2,2,The Calm Strategist
1322,similarity,4,4,5,4,4,5,3,2,4,3,The Digital Nomad
1323,similarity,2,5,5,2,2,4,4,5,1,5,The Free Spirit
1324,similarity,0,3,3,1,2,0,3,4,3,1,The Spontaneous Socialite
1325,similarity,4,3,4,0,5,1,4,3,0,4,The Quiet Observer
1326,similarity,0,2,4,4,3,2,5,3,2,0,The Digital Nomad
1327,similarity,4,2,2,3,0,2,4,2,5,2,The Grounded Loyalist
1328,similarity,2,1,3,2,4,3,5,1,1,5,The Midnight Coder
1329,similarity,4,5,1,0,4,4,0,0,5,1,The Direct Idealist
1330,similarity,2,0,2,5,1,0,1,5,2,3,The Minimalist Architect
1331,similarity,0,4,2,5,5,1,0,2,4,3,The Grounded Loyalist
1332,similarity,4,5,0,4,2,0,2,2,1,0,The Spontaneous Socialite
1333,similarity,0,3,1,3,2,1,3,1,3,2,The Direct Idealist
1334,similarity,4,4,5,1,0,3,2,0,0,4,The Digital Nomad
1335,similarity,2,2,0,0,3,4,3,5,2,1,The Free Spirit
1336,similarity,4,3,0,5,1,3,4,4,0,3,The Aesthetic Rover
1337,similarity,2,1,4,3,0,5,3,3,1,5,The Pure Creator
1338,similarity,0,1,5,2,4,0,4,3,5,2,The Digital Nomad
1339,similarity,2,0,3,0,1,1,5,0,2,4,The Quiet Observer
1340,similarity,0,0,3,5,5,1,0,5,4,4,The Aesthetic Rover
1341,similarity,4,5,4,4,5,2,5,4,1,1,The Direct Idealist
1342,similarity,2,5,2,2,2,3,0,3,3,3,The Minimalist Architect
1343,similarity,4,4,3,1,0,5,2,3,1,5,The Calm Strategist
1344,similarity,2,4,3,5,3,0,1,2,2,2,The Focused Builder
1345,similarity,0,3,1,4,1,5,2,1,0,4,The Direct Idealist
1346,similarity,2,1,2,3,1,1,3,0,3,0,The Spontaneous Socialite
1347,similarity,0,2,0,1,4,2,2,3,5,2,The Calm Strategist
1348,similarity,4,0,1,0,2,3,3,2,3,5,The Aesthetic Rover
1349,similarity,2,1,1,5,5,2,4,2,4,5,The Pure Creator
1350,similarity,4,5,5,3,5,4,5,1,2,1,The Midnight Coder
1351,similarity,2,5,0,2,3,5,4,0,3,4,The Quiet Observer
1352,similarity,0,4,4,0,0,0,5,5,1,0,The Aesthetic Rover
1353,similarity,2,4,5,5,4,2,0,4,2,2,The Grounded Loyalist
1354,similarity,0,3,5,4,3,1,0,4,0,5,The Midnight Coder
1355,similarity,4,3,3,2,1,2,1,1,4,1,The Calm Strategist
1356,similarity,2,2,4,3,4,4,2,0,5,3,The Focused Builder
1357,similarity,4,2,4,2,2,5,1,5,3,0,The Free Spirit
1358,similarity,2,1,2,0,0,4,2,4,4,0,The Spontaneous Socialite
1359,similarity,0,1,3,5,5,0,3,3,2,2,The Calm Strategist
1360,similarity,2,0,1,3,3,1,2,3,3,5,The Digital Nomad
1361,similarity,0,0,2,2,0,2,3,2,1,1,The Free Spirit
1362,similarity,4,5,2,1,4,3,4,1,5,3,The Midnight Coder
1363,similarity,0,3,0,5,4,3,5,4,0,5,The Pure Creator
1364,similarity,4,3,1,4,1,4,5,3,4,2,The Minimalist Architect
1365,similarity,2,2,5,3,5,5,0,2,5,4,The Grounded Loyalist
1366,similarity,0,2,0,1,2,1,1,2,3,4,The Midnight Coder
1367,similarity,2,1,0,0,2,0,0,1,4,1,The Direct Idealist
1368,similarity,0,1,4,4,0,1,1,0,2,3,The Minimalist Architect
1369,similarity,4,0,5,3,3,3,2,5,4,5,The Free Spirit
1370,similarity,0,0,3,2,1,4,1,4,1,2,The Focused Builder
1371,similarity,4,5,3,0,0,3,2,2,5,4,The Pure Creator
1372,similarity,2,5,4,5,4,5,3,1,0,0,The Digital Nomad
1373,similarity,0,4,2,3,2,0,4,0,4,3,The Free Spirit
1374,similarity,2,4,3,2,5,1,3,5,5,5,The Aesthetic Rover
1375,similarity,0,3,3,1,3,3,5,4,3,5,The Pure Creator
1376,similarity,4,3,1,5,2,2,0,3,5,2,The Minimalist Architect
1377,similarity,0,1,2,4,0,3,5,3,2,4,The Quiet Observer
1378,similarity,4,2,0,3,3,4,0,2,4,0,The Focused Builder
1379,similarity,2,0,1,1,1,0,1,5,1,2,The Direct Idealist
1380,similarity,0,5,1,0,1,5,0,4,5,5,The Minimalist Architect
1381,similarity,2,5,5,0,4,0,1,3,0,1,The Calm Strategist
